Folder,Dataset,Adjusted_Rand_Index,Mean_LISI_Score,Mean_Silhouette_Score,Silhouette_Benchmark,V_Measure
10d,Denoised,0.7185,8.0453,0.5535,-0.0988,0.7708
10d,True,0.5925,8.4578,0.5007,-0.0362,0.707
15d,Denoised,0.7159,6.9634,0.6296,0.0295,0.7792
15d,True,0.7244,7.4046,0.5277,0.0298,0.7793
20d,Denoised,0.756,6.8079,0.5591,0.063,0.7881
20d,True,0.7163,6.6117,0.4904,0.0842,0.765
50d,Denoised,0.8282,5.8349,0.5089,0.0877,0.8237
50d,True,0.6708,5.8726,0.6289,0.0995,0.7433
5d,Denoised,0.605,11.1725,0.5603,-0.1052,0.681
5d,True,0.5067,10.422,0.6651,-0.0718,0.6528
