Folder,Dataset,Adjusted_Rand_Index,Mean_LISI_Score,Mean_Silhouette_Score,Silhouette_Benchmark,V_Measure
100d,Denoised,0.4259,6.3095,0.4377,0.0273,0.5472
100d,True,0.3369,6.0869,0.3844,0.0605,0.5224
10d,Denoised,0.3649,6.1185,0.408,0.1087,0.5302
10d,True,0.3222,5.6981,0.4151,0.1016,0.5288
15d,Denoised,0.3926,5.6644,0.3954,0.1279,0.5592
15d,True,0.308,5.3908,0.4291,0.0356,0.5059
200d,Denoised,0.3675,6.5765,0.3899,0.1228,0.5498
200d,True,0.3382,6.6067,0.36,0.063,0.5261
20d,Denoised,0.3955,5.6552,0.4311,0.1179,0.555
20d,True,0.3981,5.5292,0.431,0.1007,0.5451
25d,Denoised,0.3811,5.8504,0.4199,0.1256,0.5743
25d,True,0.3456,5.5712,0.4409,0.1011,0.5161
50d,Denoised,0.4225,6.2214,0.3619,0.1477,0.5533
50d,True,0.3524,5.8046,0.4112,0.051,0.5292
5d,Denoised,0.3355,7.8803,0.3931,0.0102,0.4977
5d,True,0.3201,7.3267,0.42,0.0375,0.4906
